0,1,2,3,4,Stimmenanteile CDU/CSU,Stimmenanteile SPD,Stimmenanteile Grüne,Stimmenanteile FDP,Stimmenanteile Die Linke,Stimmenanteile AfD,location,Ausländeranteil,Stadt,Uni
5.232486917131099,1.476930369907807,-3.4358350879861788,0.38869316077240373,3.709978145449797,26.0,33.6,4.8,6.6,8.2,16.4,1,16.9,1,23.2
0.8294705925637159,4.476924888834841,5.186489845025561,0.3599832653013405,5.13593324660228,34.1,28.9,6.2,8.3,7.2,11.7,1,14.3,1,25.0
-1.6664755073748132,0.5264779578838259,0.005350838349735468,-1.727631242673355,0.7565735837853849,36.2,27.3,7.1,8.7,5.9,11.4,1,6.2,2,0.0
1.8423388081796082,-0.10844598353408907,-2.2486456795731526,-0.7627835173732961,0.5028676517076877,31.1,31.8,6.2,9.1,7.0,11.1,1,8.9,2,32.2
1.761097118390446,-1.548800060266313,-1.7239417926236498,0.06026936708100286,0.41515149709281146,34.8,31.2,5.8,7.9,6.3,9.9,1,6.6,2,0.0
0.49959488668206536,-0.28533189102512185,-1.4435511469513227,-0.6880123447366978,0.5178472103571489,32.5,33.3,6.8,8.8,5.7,9.5,1,5.9,2,0.0
-0.7086997790863718,-0.24619558253960874,-2.8677442875507118,-1.4748132286257973,-0.02178229516897756,31.0,33.9,7.1,7.8,6.1,10.3,1,7.2,1,0.0
-0.7185048065491104,0.5078084881033128,-1.380522743847114,-2.3589984124581718,0.09668217675745115,31.5,30.4,8.1,9.1,7.1,9.9,1,5.9,2,49.3
1.1865967348979753,1.6861002182523743,-0.19245807656618927,-1.979207285675822,-0.1930328702623107,30.5,29.1,10.9,9.0,8.3,8.1,1,8.1,1,108.7
2.3982633569958964,3.265337011804854,-0.22834290338339558,-1.1314326830699188,0.8042675957223805,29.9,27.5,10.6,10.0,8.2,9.4,1,13.1,1,42.8
-2.441692363265384,-0.401032188651416,-2.4973499451273597,-0.8432408873872395,0.010487672196479017,37.7,25.4,8.2,10.7,6.2,8.4,1,7.8,2,1.1
1.6488058527490672,0.2638206630653665,-1.8599539809037982,-0.6389596793984256,1.0861713609032488,32.6,30.3,7.6,8.6,7.3,10.5,1,9.7,2,3.4
1.2492850706370682,0.6696923387074865,-1.7433756557335158,-0.7126240143374298,0.04755660489149032,32.6,30.9,8.8,8.2,6.5,9.3,1,7.6,1,41.4
0.9900348788987443,-0.6779738292388627,-2.3626257398094257,-0.22102899992257077,1.3646887193591979,31.1,34.0,6.7,10.2,5.4,9.6,1,7.0,2,18.6
0.2543676673609804,-1.0439050403081143,-2.8654099306730694,0.7076379133354336,0.6840993383936158,37.4,27.9,8.1,8.5,5.2,9.8,1,7.7,2,0.0
0.45152437155706804,-0.5853068211828145,-2.521108707911138,-0.9921872853950137,-0.2057647464943434,33.0,30.4,8.1,8.7,5.9,10.3,1,8.2,1,0.0
1.4133084611695932,0.30159825550612207,-2.1293828218009585,-0.38371922570547196,0.4693150228908049,37.0,24.2,7.2,10.8,5.5,11.7,1,7.4,2,0.5
-1.0504841077845342,-1.3465565904703645,-3.3919803046781287,-0.9998318992678118,0.08405655456262379,38.0,27.8,7.0,8.1,6.8,8.9,1,6.2,2,0.0
-3.0757467980079545,0.25413097381297006,-0.7646693305622619,-1.1584430140798996,-1.0730603205731193,35.9,22.0,10.2,11.7,6.3,10.0,1,7.3,1,0.0
2.588922416666321,-2.538303194474939,-2.8142926738794403,0.7121181282606226,-0.25712270247632457,32.9,24.1,13.3,7.7,9.8,7.8,1,5.3,2,0.0
0.5995533312782619,0.9280873140079247,-1.696275502690778,-1.0441062975545112,-0.7061471092777116,30.9,23.3,13.5,9.6,8.9,9.2,1,6.6,2,53.2
-3.4547120095685986,-0.8538091749712342,-1.8202138056667436,-2.495225370634882,-0.6823284692230409,34.3,26.9,9.0,8.6,8.2,9.6,1,5.3,1,0.0
-2.043227529906792,-0.9892531654436968,-2.2795730857504326,-0.8238603044495795,0.2204189624818238,41.0,25.0,8.0,8.6,5.8,8.1,1,6.0,2,0.0
-0.07269177728176598,-0.8356033318885658,-2.6980905385578784,0.6964184099409094,-0.3613503268051934,37.7,28.1,7.3,8.3,5.5,9.7,1,7.7,2,0.0
-0.8140183946044098,0.4916046538591482,-1.5836831367541995,-0.5512561585132618,0.434947487793157,37.2,24.9,8.4,9.9,6.5,9.5,1,8.0,2,5.1
0.438505080234867,-1.606718467481087,-2.324740025386285,0.04255767416510483,-0.33930226746543524,35.8,27.6,8.7,8.9,6.4,9.4,1,5.5,2,16.9
-1.3974003554811936,-0.05734300181745012,-1.487304851216101,0.09755047724048105,-0.07345801346323988,35.5,26.0,9.5,9.1,6.5,9.7,1,7.2,2,2.3
5.053316828645458,1.2135459976215324,-6.532813200897793,0.25871113896028197,-0.9055930256308418,30.6,29.5,6.6,8.4,7.9,13.1,1,14.6,2,0.0
4.990322839801327,0.7352299227689614,-3.9157784911267584,2.0591494256099048,1.5756440455388505,22.5,38.2,8.5,7.1,10.0,10.0,1,9.7,2,84.2
3.459713734729231,3.7646909643703954,-0.9236559323630528,-0.8639023382774442,-1.2472423089490814,26.9,25.6,15.1,9.5,11.6,6.7,1,9.3,1,104.4
3.1192608141730394,4.272743865873434,-2.359371261116497,0.3425042543532025,-1.4656329934863044,32.0,24.0,14.1,10.0,9.9,6.2,1,12.7,1,155.8
7.760770129406893,1.3797280786366284,-4.469676349000926,0.8370598625388114,0.19146152219535031,29.9,30.0,7.2,9.0,8.7,10.6,1,8.5,1,60.2
-2.8155266937693546,-1.1869154670120792,-1.3258814833548456,-1.046805174495171,-0.4294296407763381,35.4,26.6,9.0,11.5,6.4,7.9,1,5.6,1,0.0
0.916226367279783,-1.0370485908187717,-3.5999724509386453,-0.23009211956398967,0.2988347216682955,29.4,37.7,7.2,7.2,6.5,8.9,1,5.4,2,0.0
-1.7491829661660219,-1.6798031367936452,-3.3220772718838893,1.661454579919642,0.1649123654036104,52.5,18.6,4.4,8.8,4.6,9.1,1,10.1,2,0.0
-2.3893139808236654,-0.9433408164209403,-1.5134352197445156,-0.00047946056171348857,0.19817505507590272,52.6,20.3,5.5,8.9,4.4,6.3,1,10.3,2,7.1
-1.5013130133508117,-1.1153706910353682,-1.8723650266294762,-0.8334785425454346,0.004599569842641736,33.0,30.6,7.9,10.1,6.7,8.2,1,4.3,1,0.0
-2.3660319606478737,-0.6752212169264431,-2.830866633155322,-0.36171185164543246,-0.9867486997010086,44.7,28.0,6.2,8.9,4.8,5.3,1,14.1,2,0.0
-0.25467275597784167,-1.350793222898802,-3.2066365034153375,-0.042107925511103324,-0.5256869931067865,34.2,33.5,6.7,7.1,6.2,9.2,1,7.5,2,1.9
-3.318773167642138,-1.1222801635720379,-2.2027268429306552,-0.8854452388737672,0.5159843854283066,35.3,25.0,9.0,11.6,6.6,8.9,1,8.1,2,0.0
-3.5539762045147256,-1.4842558610501146,-1.437542160498791,0.8542320293284075,-0.27917783934879653,40.8,25.7,8.4,9.4,6.1,7.0,1,7.7,2,0.0
